Timestamp, Dataset, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-15 16:23:39, XOR, multiclass_cross_entropy, 0.0, 10, 74.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE10
2026-01-15 16:23:53, XOR, multiclass_cross_entropy, 0.0, 30, 97.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE30
2026-01-15 16:24:16, XOR, multiclass_cross_entropy, 0.0, 100, 100.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE100
2026-01-15 16:24:34, XOR, multiclass_combined_loss_relu, 0.5, 10, 75.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_combined_loss_relu_alpha_0.5__SIZE10
2026-01-15 16:24:57, XOR, multiclass_combined_loss_relu, 0.5, 30, 82.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_combined_loss_relu_alpha_0.5__SIZE30
2026-01-15 16:25:40, XOR, multiclass_combined_loss_relu, 0.5, 100, 100.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_combined_loss_relu_alpha_0.5__SIZE100
2026-01-15 16:25:58, XOR, multiclass_combined_loss_softplus, 0.5, 10, 74.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE10
2026-01-15 16:26:20, XOR, multiclass_combined_loss_softplus, 0.5, 30, 93.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE30
2026-01-15 16:27:04, XOR, multiclass_combined_loss_softplus, 0.5, 100, 100.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE100
2026-01-15 16:27:21, XOR, multiclass_combined_loss_sign, 0.5, 10, 75.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE10
2026-01-15 16:27:44, XOR, multiclass_combined_loss_sign, 0.5, 30, 73.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE30
2026-01-15 16:28:26, XOR, multiclass_combined_loss_sign, 0.5, 100, 100.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_XOR_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE100
2026-01-15 16:28:35, Circles, multiclass_cross_entropy, 0.0, 10, 74.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE10
2026-01-15 16:28:45, Circles, multiclass_cross_entropy, 0.0, 30, 79.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE30
2026-01-15 16:29:01, Circles, multiclass_cross_entropy, 0.0, 100, 57.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE100
2026-01-15 16:29:15, Circles, multiclass_combined_loss_relu, 0.5, 10, 80.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_relu_alpha_0.5__SIZE10
2026-01-15 16:29:33, Circles, multiclass_combined_loss_relu, 0.5, 30, 85.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_relu_alpha_0.5__SIZE30
2026-01-15 16:30:12, Circles, multiclass_combined_loss_relu, 0.5, 100, 57.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_relu_alpha_0.5__SIZE100
2026-01-15 16:30:26, Circles, multiclass_combined_loss_softplus, 0.5, 10, 67.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE10
2026-01-15 16:30:45, Circles, multiclass_combined_loss_softplus, 0.5, 30, 64.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE30
2026-01-15 16:31:26, Circles, multiclass_combined_loss_softplus, 0.5, 100, 50.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_softplus_alpha_0.5__SIZE100
2026-01-15 16:31:41, Circles, multiclass_combined_loss_sign, 0.5, 10, 68.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE10
2026-01-15 16:32:01, Circles, multiclass_combined_loss_sign, 0.5, 30, 81.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE30
2026-01-15 16:32:41, Circles, multiclass_combined_loss_sign, 0.5, 100, 72.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_Circles_filtered__LOSS_multiclass_combined_loss_sign_alpha_0.5__SIZE100
2026-01-15 16:32:51, TwoMoons, multiclass_cross_entropy, 0.0, 10, 81.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE10
2026-01-15 16:33:01, TwoMoons, multiclass_cross_entropy, 0.0, 30, 82.0, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE30
2026-01-15 16:33:18, TwoMoons, multiclass_cross_entropy, 0.0, 100, 88.5, MODEL_ENSEMBLE_6_MultiClassClassifier__OPTIM_adam_opt__LR_0.01__BATCHSIZE_32__DATA_TwoMoons_filtered__LOSS_multiclass_cross_entropy_alpha_0.0__SIZE100
