Timestamp, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-15 16:12:13, cross_entropy, 0.0, 10, 50.2, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_cross_entropy_mix_0.0
2026-01-15 16:12:26, cross_entropy, 0.0, 100, 51.43, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_cross_entropy_mix_0.0
2026-01-15 16:12:40, cross_entropy, 0.0, 200, 55.94, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_cross_entropy_mix_0.0
2026-01-15 16:12:56, combined_loss_embedding_relu, 0.5, 10, 52.25, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_combined_loss_embedding_relu_mix_0.5
2026-01-15 16:13:13, combined_loss_embedding_relu, 0.5, 100, 52.66, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_combined_loss_embedding_relu_mix_0.5
2026-01-15 16:13:32, combined_loss_embedding_relu, 0.5, 200, 56.35, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_combined_loss_embedding_relu_mix_0.5
2026-01-15 16:13:48, combined_loss_embedding_softplus, 0.5, 10, 51.02, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_combined_loss_embedding_softplus_mix_0.5
2026-01-15 16:14:05, combined_loss_embedding_softplus, 0.5, 100, 55.12, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_combined_loss_embedding_softplus_mix_0.5
2026-01-15 16:14:24, combined_loss_embedding_softplus, 0.5, 200, 63.11, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_combined_loss_embedding_softplus_mix_0.5
2026-01-15 16:14:39, combined_loss_embedding_sign, 0.5, 10, 51.84, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_combined_loss_embedding_sign_mix_0.5
2026-01-15 16:14:57, combined_loss_embedding_sign, 0.5, 100, 56.56, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_combined_loss_embedding_sign_mix_0.5
2026-01-15 16:15:16, combined_loss_embedding_sign, 0.5, 200, 62.91, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_True_smplsize_60_div0.8_LOSS_combined_loss_embedding_sign_mix_0.5
