Timestamp, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-15 21:34:25, cross_entropy, 0.0, 10, 78.89, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_cross_entropy_mix_0.0
2026-01-15 21:34:54, cross_entropy, 0.0, 100, 78.28, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_cross_entropy_mix_0.0
2026-01-15 21:35:23, cross_entropy, 0.0, 200, 77.25, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_cross_entropy_mix_0.0
2026-01-15 21:36:14, combined_loss_embedding_relu, 0.5, 10, 75.61, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_combined_loss_embedding_relu_mix_0.5
2026-01-15 21:37:05, combined_loss_embedding_relu, 0.5, 100, 76.02, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_combined_loss_embedding_relu_mix_0.5
2026-01-15 21:37:58, combined_loss_embedding_relu, 0.5, 200, 75.2, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_combined_loss_embedding_relu_mix_0.5
2026-01-15 21:38:50, combined_loss_embedding_softplus, 0.5, 10, 74.39, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_combined_loss_embedding_softplus_mix_0.5
2026-01-15 21:39:42, combined_loss_embedding_softplus, 0.5, 100, 73.98, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_combined_loss_embedding_softplus_mix_0.5
2026-01-15 21:40:35, combined_loss_embedding_softplus, 0.5, 200, 74.59, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_combined_loss_embedding_softplus_mix_0.5
2026-01-15 21:41:29, combined_loss_embedding_sign, 0.5, 10, 70.9, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_combined_loss_embedding_sign_mix_0.5
2026-01-15 21:42:21, combined_loss_embedding_sign, 0.5, 100, 71.11, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_combined_loss_embedding_sign_mix_0.5
2026-01-15 21:43:15, combined_loss_embedding_sign, 0.5, 200, 71.11, MODEL_ENSEMBLE_1_BagOfWordsClassifierSimple__emb50_OPTIM_adamw__LR_0.0001__BATCHSIZE_32__trainsize_3414__active_False_smplsize_60_div0.8_LOSS_combined_loss_embedding_sign_mix_0.5
