Timestamp, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-13 15:46:33, multiclass_cross_entropy, 0.0, 10, 29.8, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-13 15:47:14, multiclass_cross_entropy, 0.0, 20, 36.3, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-13 15:47:58, multiclass_cross_entropy, 0.0, 50, 71.28, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-13 15:48:43, multiclass_cross_entropy, 0.0, 100, 74.18, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-13 15:49:33, multiclass_cross_entropy, 0.0, 200, 83.5, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-13 15:50:56, multiclass_split_loss_embedding_relu, 0.3, 10, 33.98, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-13 15:52:38, multiclass_split_loss_embedding_relu, 0.3, 20, 33.32, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-13 15:54:44, multiclass_split_loss_embedding_relu, 0.3, 50, 67.26, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-13 15:57:38, multiclass_split_loss_embedding_relu, 0.3, 100, 76.24, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-13 16:01:01, multiclass_split_loss_embedding_relu, 0.3, 200, 83.42, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-13 16:02:20, multiclass_split_loss_embedding_relu, 0.5, 10, 31.82, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
