Timestamp, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-16 16:08:30, multiclass_split_gs_embedding, 0.3, 10, 37.84, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 16:10:09, multiclass_split_gs_embedding, 0.3, 20, 40.5, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 16:12:32, multiclass_split_gs_embedding, 0.3, 50, 67.04, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 16:15:44, multiclass_split_gs_embedding, 0.3, 100, 73.08, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 16:19:16, multiclass_split_gs_embedding, 0.3, 200, 83.5, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 16:20:41, multiclass_split_gs_embedding, 0.5, 10, 33.22, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
2026-01-16 16:22:17, multiclass_split_gs_embedding, 0.5, 20, 33.2, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
2026-01-16 16:24:41, multiclass_split_gs_embedding, 0.5, 50, 69.64, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
2026-01-16 16:28:06, multiclass_split_gs_embedding, 0.5, 100, 74.98, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
2026-01-16 16:31:37, multiclass_split_gs_embedding, 0.5, 200, 83.72, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
