Timestamp, Path Type, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-16 09:28:50, raw, multiclass_cross_entropy, 0.0, 10, 83.32, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-16 09:29:43, raw, multiclass_cross_entropy, 0.0, 50, 83.32, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-16 09:30:31, raw, multiclass_cross_entropy, 0.0, 200, 83.32, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-16 09:34:03, raw, multiclass_split_loss_embedding_relu, 0.3, 10, 83.74, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-16 09:37:33, raw, multiclass_split_loss_embedding_relu, 0.3, 50, 83.74, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-16 09:40:58, raw, multiclass_split_loss_embedding_relu, 0.3, 200, 83.74, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-16 09:44:27, raw, multiclass_split_loss_embedding_relu, 0.5, 10, 84.04, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-16 09:47:55, raw, multiclass_split_loss_embedding_relu, 0.5, 50, 84.04, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-16 09:51:21, raw, multiclass_split_loss_embedding_relu, 0.5, 200, 84.04, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-16 09:54:47, raw, multiclass_split_loss_embedding_softplus, 0.3, 10, 83.54, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_False_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
