Timestamp, Path Type, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-15 23:55:34, face, multiclass_cross_entropy, 0.0, 10, 33.56, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 23:56:18, face, multiclass_cross_entropy, 0.0, 50, 70.12, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 23:57:05, face, multiclass_cross_entropy, 0.0, 200, 83.5, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 23:58:15, face, multiclass_split_loss_embedding_relu, 0.3, 10, 32.18, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-16 00:00:14, face, multiclass_split_loss_embedding_relu, 0.3, 50, 65.46, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-16 00:03:26, face, multiclass_split_loss_embedding_relu, 0.3, 200, 84.04, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-16 00:04:32, face, multiclass_split_loss_embedding_relu, 0.5, 10, 33.4, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-16 00:06:27, face, multiclass_split_loss_embedding_relu, 0.5, 50, 65.56, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-16 00:09:45, face, multiclass_split_loss_embedding_relu, 0.5, 200, 83.74, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-16 00:10:54, face, multiclass_split_loss_embedding_softplus, 0.3, 10, 37.0, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-16 00:13:12, face, multiclass_split_loss_embedding_softplus, 0.3, 50, 66.16, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-16 00:16:25, face, multiclass_split_loss_embedding_softplus, 0.3, 200, 84.16, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.3
2026-01-16 00:17:33, face, multiclass_split_loss_embedding_softplus, 0.5, 10, 35.96, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-16 00:19:37, face, multiclass_split_loss_embedding_softplus, 0.5, 50, 69.36, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-16 00:22:50, face, multiclass_split_loss_embedding_softplus, 0.5, 200, 84.78, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_softplus_mix_0.5
2026-01-16 00:24:01, face, multiclass_split_loss_embedding_sign, 0.3, 10, 31.44, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_sign_mix_0.3
