Timestamp, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-15 12:08:36, multiclass_cross_entropy, 0.0, 10, 57.14, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 12:08:46, multiclass_cross_entropy, 0.0, 20, 56.46, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 12:08:57, multiclass_cross_entropy, 0.0, 50, 56.46, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 12:09:06, multiclass_cross_entropy, 0.0, 100, 56.46, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 12:09:20, multiclass_split_loss_embedding_relu, 0.3, 10, 57.14, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-15 12:09:34, multiclass_split_loss_embedding_relu, 0.3, 20, 54.42, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-15 12:09:50, multiclass_split_loss_embedding_relu, 0.3, 50, 57.82, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-15 12:10:06, multiclass_split_loss_embedding_relu, 0.3, 100, 50.34, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-15 12:10:20, multiclass_split_loss_embedding_relu, 0.5, 10, 58.5, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
2026-01-15 12:10:34, multiclass_split_loss_embedding_relu, 0.5, 20, 55.78, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.001__BATCHSIZE_8__trainsize_100__active_True_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.5
