Timestamp, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-16 17:15:08, multiclass_split_gs_embedding, 0.3, 10, 10.2, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 17:15:23, multiclass_split_gs_embedding, 0.3, 20, 12.93, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 17:15:40, multiclass_split_gs_embedding, 0.3, 50, 33.33, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 17:16:00, multiclass_split_gs_embedding, 0.3, 100, 54.42, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 17:16:25, multiclass_split_gs_embedding, 0.3, 200, 60.54, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.3
2026-01-16 17:16:39, multiclass_split_gs_embedding, 0.5, 10, 10.2, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
2026-01-16 17:16:54, multiclass_split_gs_embedding, 0.5, 20, 12.93, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
2026-01-16 17:17:12, multiclass_split_gs_embedding, 0.5, 50, 32.65, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
2026-01-16 17:17:31, multiclass_split_gs_embedding, 0.5, 100, 55.1, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
2026-01-16 17:17:56, multiclass_split_gs_embedding, 0.5, 200, 61.22, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_True_smplsize_20_div0.8_LOSS_multiclass_split_gs_embedding_mix_0.5
