Timestamp, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-15 20:57:29, multiclass_cross_entropy, 0.0, 10, 63.95, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 20:57:49, multiclass_cross_entropy, 0.0, 20, 63.95, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 20:58:09, multiclass_cross_entropy, 0.0, 50, 63.95, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 20:58:29, multiclass_cross_entropy, 0.0, 100, 63.95, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 20:58:50, multiclass_cross_entropy, 0.0, 200, 63.95, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-15 20:59:34, multiclass_split_loss_embedding_relu, 0.3, 10, 57.82, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-15 21:00:19, multiclass_split_loss_embedding_relu, 0.3, 20, 57.82, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-15 21:01:05, multiclass_split_loss_embedding_relu, 0.3, 50, 57.82, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-15 21:01:52, multiclass_split_loss_embedding_relu, 0.3, 100, 57.82, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-15 21:02:37, multiclass_split_loss_embedding_relu, 0.3, 200, 57.82, MODEL_ENSEMBLE_1_BagOfWordsClassifierMultiClass__emb32_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_675__active_False_smplsize_20_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
